year,month,Brand,monthly_sales
2020,Nov,MINI,169
2020,Nov,Mitsubishi,42
2020,Nov,Nissan,503
2020,Nov,Opel,394
2020,Nov,Peugeot,1347
2020,Nov,Porsche,65
2020,Nov,Renault,1519
2020,Nov,Seat,420
2020,Nov,Skoda,100
2020,Nov,Smart,52
2020,Nov,Suzuki,15
2020,Nov,Tesla,72
2020,Nov,Toyota,575
2020,Nov,Volkswagen,597
2020,Nov,Volvo,384
2020,Dec,Alfa Romeo,9
2020,Dec,Alpine,0
2020,Dec,Aston Martin,5
2020,Dec,Audi,359
2020,Dec,Bentley,0
2020,Dec,BMW,939
2020,Dec,Citroën,742
2020,Dec,Cupra,1
2020,Dec,Dacia,390
2020,Dec,DS,47
2020,Dec,Ferrari,4
2020,Dec,Fiat,1337
2020,Dec,Ford,519
2020,Dec,Honda,60
2020,Dec,Hyundai,305
2020,Dec,Iveco,0
2020,Dec,Jaguar,42
2020,Dec,Jeep,146
2020,Dec,Kia,223
2020,Dec,Lamborghini,0
2020,Dec,Land Rover,51
2020,Dec,Lexus,33
2020,Dec,Man,0
2020,Dec,Maserati,0
2020,Dec,Mazda,82
2020,Dec,Mercedes-Benz,834
2020,Dec,MINI,131
2020,Dec,Mitsubishi,49
2020,Dec,Nissan,641
2020,Dec,Opel,442
2020,Dec,Peugeot,1334
2020,Dec,Porsche,69
2020,Dec,Renault,2424
2020,Dec,Seat,771
2020,Dec,Skoda,132
2020,Dec,Smart,62
2020,Dec,Suzuki,26
2020,Dec,Tesla,271
